1_hanzi,2_pinyin,3_meaningList,4_frequency,5_hsk_level,6_traditional
爱,ài,"love, like, be fond of, be keen on, cherish, be apt to",31122,1,愛
爱好,àihào,"love, like, be fond of, be keen on",452,1,愛好
八,bā,det.: eight,2090,1,八
爸爸,bàbà,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa",21930,1,爸爸
吧,ba,particle: used to show mild imperative or uncertainty,194084,1,吧
白,bái,"white, clear, pure, plain, wrongly written/mispronounced,",2684,1,白
白天,bái tiān,"daytime, during the day, day, CL:個|个[ge4]",582,1,白天
百,bǎi,"cent, centum, century, hundred, det.: hundred",981,1,百
班,bān,m.[event],2235,1,班
半,bàn,det.: half,5389,1,半
半年,bàn nián,half a year,1,1,半年
半天,bàn tiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]",115,1,半天
帮,bāng,help,31793,1,幫
帮忙,bāngmáng,"assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn",5725,1,幫忙
包,bāo,"wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee",3748,1,包
包子,bāo zi,"steamed stuffed bun, CL:個|个[ge4]",26,1,包子
杯,bēi,m.[container],7541,1,杯
杯子,bēizi5,"tumbler, drinking glass, cup, glass",541,1,杯子
北,běi,"atomic number 97, northward, north, berkelium, Bk, northern",1011,1,北
北边,běi biān,"north, north side, northern part, to the north of",190,1,北邊
北京,běijīng,"capital of Red China, Beijing, Peking, Beijing (Peking), Peiping",139,1,北京
本,běn,det.: this,10526,1,本
本子,běn zi,"book, notebook, edition, CL:本[ben3]",106,1,本子
比,bǐ,compared with,21371,1,比
别,bié,don't,69865,1,別
别的,bié de,"else, other",6210,1,別的
别人,biérén,"others, other people, another person",11613,1,別人
病,bìng,disease,3793,1,病
病人,bìngrén,"shut-in, patient, subject, sufferer, case, valetudinarian, invalid",3414,1,病人
不大,bùdà,"not very/too, not often",199,1,不大
不对,bù duì,"incorrect, wrong, amiss, abnormal, queer",1494,1,不對
不客气,bù kè qi,"you're welcome, don't mention it, impolite, rude, blunt",0,1,不客氣
不用,búyòng,need not,3859,1,不用
不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix",689161,1,不
菜,cài,"vegetable, greens, dish, course, food",1963,1,菜
茶,chá,tea,1245,1,茶
差,chā,"be short, lack",3016,1,差
常,cháng,"often, usually, frequently",2040,1,常
常常,chángcháng,"oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually",748,1,常常
唱,chàng,"cry, chant, chirm, tune, vocalize, call, sing",6300,1,唱
唱歌,chànggē,sing,1591,1,唱歌
车,chē,vehicle,23974,1,車
车票,chēpiào,ticket (for train/bus),201,1,車票
车上,chēshàng,Car,1275,1,車上
车站,chēzhàn,station,545,1,車站
吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up",27913,1,吃
吃饭,chīfàn,"feed, dine, make a living, keep alive, have a meal, eat",2135,1,吃飯
出,chū,"produce, turn out, arise, happen",42784,1,出
出来,chūlái,"come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge",20938,1,出來
出去,chūqù,"go_out, go/get out, get_out, go out, get out, go, exit",11524,1,出去
穿,chuān,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",13586,1,穿
床,chuáng,bed,6505,1,床
次,cì,"order, sequence, next",43873,1,次
从,cóng,"from, since, through",47313,1,從
错,cuò,"wrong, mistaken, bad, poor, confused, complex",36166,1,錯
打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix",31223,1,打
打车,dǎ chē,"to take a taxi (in town), to hitch a lift",58,1,打車
打电话,dǎdiànhuà,make telephone call,11289,1,打電話
打开,dǎkāi,"unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop",4989,1,打開
打球,dǎqiú,play a ball game using arms/hands,577,1,打球
大,dà,"great, macro, old, very, vast, tall, big, high, much",45061,1,大
大学,dàxué,"university, college",4455,1,大學
大学生,dàxuéshēng,"man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks",244,1,大學生
到,dào,up until,139534,1,到
得到,dé dào,"to get, to obtain, to receive",11188,1,得到
地,dì,"the earth, land, soil, fields, ground, place, position, background, distance",18009,1,地
的,de,particle: emphasizing an action/situation,1682530,1,的
等,děng,"conj.: and so on, etc",34016,1,等
地点,dìdiǎn,"location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus",1746,1,地點
地方,dìfāng,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local",23358,1,地方
地上,dì shang,"on the ground, on the floor",1423,1,地上
地图,dìtú,map,1206,1,地圖
弟弟,dìdì,"brother, little brother, younger brother, cadet, little_brother, viscount",3376,1,弟弟
第,dì,"mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence",6842,1,第
点,diǎn,m.[proximation],77665,1,點
电,diàn,electricity,1551,1,電
电话,diànhuà,"blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone",18374,1,電話
电脑,diànnǎo,"electronic computer, computery, data processor, information processing system, computer",3210,1,電腦
电视,diànshì,"TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly",4816,1,電視
电视机,diànshìjī,"set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television",311,1,電視機
电影,diànyǐng,"cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker",7249,1,電影
电影院,diànyǐngyuàn,"cinema, movie (house)",231,1,電影院
